generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler3	5551	5965	1	0.0212766	0.318115	
LeafPopulationSizeScaler3	6355	5135	1	0.0212766	0.431104	
RootPopulationSizeScaler4	5833	5648	1	0.0212766	0.265318	
LeafPopulationSizeScaler4	6261	5224	1	0.0212766	0.458914	
RootPopulationSizeScaler5	6051	5398	1	0.0212766	0.298143	
LeafPopulationSizeScaler5	6693	4757	1	0.0212766	0.53159	
RootPopulationSizeScaler6	5522	5966	1	0.0212766	0.301999	
LeafPopulationSizeScaler6	6885	4556	1	0.0212766	0.457367	
RootPopulationSizeScaler7	5390	6092	1	0.0212766	0.301668	
LeafPopulationSizeScaler7	6456	4970	1	0.0212766	0.492338	
RootPopulationSizeScaler8	5595	5860	1	0.0212766	0.288643	
LeafPopulationSizeScaler8	6382	5021	1	0.0212766	0.574619	
RootPopulationSizeScaler9	5933	5535	1	0.0212766	0.296795	
LeafPopulationSizeScaler9	7162	4359	1	0.0212766	0.915404	
RootPopulationSizeScaler10	5786	5748	1	0.0212766	0.309012	
LeafPopulationSizeScaler10	8255	3157	1	0.0212766	0.682863	
RootPopulationSizeScaler11	5649	5831	1	0.0212766	0.313175	
LeafPopulationSizeScaler11	6652	4803	1	0.0212766	0.747326	
RootPopulationSizeScaler12	5545	5901	1	0.0212766	0.319361	
LeafPopulationSizeScaler12	6679	4793	1	0.0212766	0.642953	
RootPopulationSizeScaler13	5558	5880	1	0.0212766	0.306001	
LeafPopulationSizeScaler13	6974	4533	1	0.0212766	0.735566	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13765	0	10	0.212766	none	
TimeSizeRateMixer	26562	25683	5	0.106383	0.200486	
TimeRootSizeMixer	14796	16344	3	0.0638298	0.175973	
EventTimeScaler	101676	96256	1	0.0212766	0.465015	
RootPopulationSizeScaler0	5977	6383	1	0.0212766	0.327011	
LeafPopulationSizeScaler0	7886	4515	1	0.0212766	1.27626	
RootPopulationSizeScaler1	6517	5919	1	0.0212766	0.302723	
LeafPopulationSizeScaler1	7105	5329	1	0.0212766	0.588678	
RootPopulationSizeScaler2	6109	6340	1	0.0212766	0.273907	
LeafPopulationSizeScaler2	6503	5928	1	0.0212766	0.47258	
